Book Title,Authors,Rating,ISBN,ASIN,Number of Pages,Format,Genres
Death Comes as the End,Agatha Christie,,9780006163732,,219,paperback,Detective and mystery stories
Killing Floor,Lee Child,,9781529177305,,0,paperback,Fiction
My Cousin Rachel,Daphne Du Maurier,,9780349009858,,0,paperback,Fiction
The Case of the Creative Crime,Carolyn Keene,,9780743437486,,166,paperback,Artist colonies
The Clocks,Agatha Christie,,9780854566662,,416,paperback,Fiction
Still Life,Louise Penny,,9780312948559,,322,paperback,Fiction
Waiting for Wednesday,Nicci French,,9780670015771,,372,paperback,Fiction
And Then There Were None and Selected Plays,Agatha Christie,,9781628992199,,0,paperback,"Detective and mystery plays, English"
The ABC Murders,Agatha Christie,,9780708905906,,344,paperback,Fiction
Déjà Dead,Kathy Reichs,,9780099574859,,548,paperback,Fiction
Death on the Nile,Agatha Christie,,9780006153566,,222,paperback,English fiction
The Angel of Darkness,Caleb Carr,,9780345427632,,772,paperback,Fiction
Archer's Goon,Diana Wynne Jones,,9780749709099,,240,paperback,mystery
The Rottweiler,Ruth Rendell,,,,360,paperback,Fiction
Stop the Clock,Carolyn Keene,4,9780689873362,,164,paperback,Juvenile Fiction
Appointment with death,Agatha Christie,,,,206,paperback,mystery
Five Go Adventuring Again,Enid Blyton,,9781444908664,,0,paperback,Adventure stories
Five Go Off to Camp,Enid Blyton,,9780340765203,,201,paperback,Children's stories
The Angel of Darkness,Caleb Carr,,9780345427632,,772,paperback,Fiction
Where Are You Now?,Mary Higgins Clark,,9781416570882,,372,paperback,Fiction
The Hound of the Baskervilles,Arthur Conan Doyle,,9780590702300,,178,paperback,Detective and mystery stories
Murder is Easy,Agatha Christie,,,,,paperback,Mystery
Dead Man's Folly,Agatha Christie,,9780671823344,,0,paperback,Mystery
Moby Dick. Con CD,Herman Melville,,9788853006103,,128,paperback,Education
"Good Morning, Midnight",Reginald Hill,,9780770429430,,544,paperback,"Dalziel, Andrew (Fictitious character)"
Archer's Goon,Diana Wynne Jones,,9780749709099,,240,paperback,mystery
The Naming of the Dead,Ian Rankin,3.5,,,438,paperback,Fiction
A Caribbean Mystery,Agatha Christie,,,,157,paperback,Caribbean Area
Brother Odd,Dean Ray Koontz,4.5,9780553589108,,466,paperback,Abandoned children
Fractured,Karin Slaughter,,9780099538592,,530,paperback,Abused wives
Crooked House,Agatha Christie,,9780006751298,,188,paperback,mystery
The House at Riverton,Kate Morton,,9780330448444,,612,paperback,Fiction
Blood Price,Tanya Huff,,9780756408404,,274,paperback,Fiction
The labours of Hercules,Agatha Christie,,9780006141969,,256,paperback,Mystery
Purr-fect Crime,"Martin Harry Greenberg, Carol-Lynn Rossel Waugh, Isaac Asimov",,9781567310849,,296,paperback,Fiction
The Girl on the Train,Paula Hawkins,,9780750542234,,408,paperback,Commuters
Bitter Medicine,Sara Paretsky,,9780345347220,,276,paperback,Fiction
Ordeal by Innocence,Agatha Christie,,9780006170679,,192,paperback,Detective and mystery stories
Call for the Dead,John Le Carré,4,,,172,paperback,Fiction
The Full Cupboard of Life,Alexander McCall Smith,,9780954407506,,202,paperback,Botswana
Hallowe'en Party,Agatha Christie,,9780847985838,,,paperback,mystery
A Time to Kill,John Grisham,4,9780440211723,,532,paperback,Fiction
Longshot,Dick Francis,,9780399135811,,324,paperback,Fiction
The Art Thief,Noah Charney,,9781416563006,,290,paperback,Art thefts
London Match,Len Deighton,4,9780345332684,,452,paperback,Fiction
Second Wind,Dick Francis,,9780515129236,,276,paperback,Fiction
Confessor,Terry Goodkind,,9780007250820,,609,paperback,Fiction
A Pocket Full of Rye,Agatha Christie,,9780708910665,,335,paperback,Fiction
Secret Seven Mystery,Enid Blyton,,,,120,paperback,Mystery
Wilful Behaviour,Donna Leon,,9780099415183,,372,paperback,"Brunetti, Guido (Fictitious character)"
The Secret in the Old Lace,Carolyn Keene,,9780671690670,,180,paperback,Juvenile Fiction
Seven Up,Janet Evanovich,4,9780312980146,,372,paperback,Fiction
Hard News,Jeffery Deaver,,9780553583298,,291,paperback,Fiction
The Secret in the Old Lace,Carolyn Keene,,9780671690670,,180,paperback,Juvenile Fiction
The Golden Spiders,Rex Stout,,,,202,paperback,Fiction
Crime and Punishment,Fedor Mikhailovich Dostoevskii,,,,434,paperback,Murder
Wilful Behaviour,Donna Leon,,9780099415183,,372,paperback,"Brunetti, Guido (Fictitious character)"
The Teen Model Mystery,Carolyn Keene,5,9780671872083,,164,paperback,Juvenile Fiction
The Black Circle,Patrick Carman,,9780545222471,,0,paperback,Juvenile Fiction
The Mystery of the Missing Necklace,Enid Blyton,4,9781405203975,,217,paperback,Adventure fiction
The adventure of the Christmas pudding,Agatha Christie,,9780006140764,,224,paperback,Mystery
A Time to Kill,John Grisham,4,9780440211723,,532,paperback,Fiction
SCOOB! Junior Novelization (Scooby-Doo),David Lewman,,9780593178546,,145,paperback,Juvenile Fiction
The Secret of Chimneys,Agatha Christie,,9782830208498,,435,paperback,Large type books
The Secret of Chimneys,Agatha Christie,,9780006174769,,266,paperback,"Battle, Superintendent (Fictitious character)"
Payment in Blood,Elizabeth George,3.5,9780553284362,,374,paperback,Fiction
Body of Evidence,Patricia Cornwell,,9780751505122,,387,paperback,Detective and mystery stories
Seven Up,Janet Evanovich,4,9780312980146,,372,paperback,Fiction
The Murder at the Vicarage,Agatha Christie,,9780907486398,,380,paperback,Mystery
Everyone in My Family Has Killed Someone,Benjamin Stevenson,,9780063307728,,0,paperback,mystery
The Big Sleep,Raymond Chandler,,,,220,paperback,Los Angeles (Calif.)
Riverboat Ruse,Carolyn Keene,,9780689873355,,166,paperback,Juvenile Fiction
The Godfather,Mario Puzo,,9780091877088,,,paperback,mystery
The Secret of the Wooden Lady,Carolyn Keene,,,,196,paperback,JUVENILE FICTION
Hardy Boys 06: the Shore Road Mystery,Franklin W. Dixon,2.5,,,210,paperback,Juvenile Fiction
"Merry Christmas, Alex Cross",James Patterson,,9780316224192,,432,paperback,Fiction
Strangers in Death,J. D. Robb,,9780749938833,,368,paperback,Businessmen
The Man Who Was Thursday,G. K. Chesterton,,9780881842258,,196,paperback,Fiction
Sparkling Cyanide,Agatha Christie,,9780006162636,,238,paperback,England
"Merry Christmas, Alex Cross",James Deane Patterson,,9781455545643,,0,paperback,African American detectives
A Pocket Full of Rye,Agatha Christie,,9780317442717,,,paperback,Mystery
Hard News,Jeffery Deaver,,9780553583298,,291,paperback,Fiction
Bloodline,Sidney Sheldon,,9780446812054,,460,paperback,mystery
Mystery of the Ivory Charm,Carolyn Keene,5,9780448195131,,202,paperback,Juvenile Fiction
The Case of the Bizarre Bouquets,Nancy Springer,,9780142413906,,170,paperback,Juvenile Fiction
"Full Dark, No Stars",Stephen King,3,9781602859463,,590,paperback,Fiction
"""C"" is for Corpse",Sue Grafton,,9780553280364,,228,paperback,Fiction
Destination Unknown,Agatha Christie,,9780756953126,,0,paperback,Detective and mystery stories
Ghost Stories (Nancy Drew ),Carolyn Keene,5,9780671691325,,166,paperback,Juvenile Fiction
Hide,Lisa Gardner,,9781585479245,,455,paperback,Fiction
Double Sin and Other Stories,Agatha Christie,,9780816145423,,297,paperback,Fiction
The Seventh Function of Language,Laurent Binet,,9780374261566,,369,paperback,Fiction
Plum Lovin',Janet Evanovich,,9780312985363,,292,paperback,Fiction
The Assassin's Blade,Sarah J. Maas,5,9781408851982,,465,paperback,Juvenile Fiction
The Wind in the Willows,Kenneth Grahame,4.5,9781853261220,,202,paperback,Juvenile Fiction
Peter Pan,James Matthew Barrie,,9781402754265,,164,paperback,Fiction
Fablehaven,Brandon Mull,4.5,9781416947202,,384,paperback,Juvenile Fiction
The Wizard of Oz,Lyman Frank Baum,3,9781905716524,,188,paperback,Fiction
The Golden Compass,Philip Pullman,,9780345413352,,372,paperback,Fiction
Throne of Glass,Sarah J. Maas,,9781408832332,,419,paperback,Fiction
A Game of Thrones,George R. R. Martin,4.5,,,876,paperback,Fiction
The Voyage of the Dawn Treader,Clive Staples Lewis,,9780006716655,,196,paperback,Juvenile Fiction
Keeper of the Lost Cities,Shannon Messenger,4.5,9781442445932,,496,paperback,Juvenile Nonfiction
Harry Potter and the Deathly Hallows,J. K. Rowling,4.5,,,792,paperback,Juvenile Fiction
Bloodmarked,Tracy Deonn,,9781534441637,,576,paperback,Young Adult Fiction
Charlie and the Great Glass Elevator,Roald Dahl,,,,180,paperback,Juvenile Fiction
Graceling,Kristin Cashore,4.5,9780152063962,,492,paperback,Juvenile Fiction
Bridge to Terabithia,Katherine Paterson,,9780380432813,,148,paperback,Juvenile Fiction
Through the Looking-glass,Lewis Carroll,4,,,250,ebook,Fantasy
The Borrowers,"Mary Norton, Sherwood Smith",,9780152017798,,196,paperback,Juvenile Fiction
"The Hobbit, Or, There and Back Again",John Ronald Reuel Tolkien,,9780261103344,,302,paperback,Fiction
The Silver Chair,Clive Staples Lewis,,9780006716815,,260,paperback,Juvenile Fiction
The Tales of Beedle the Bard,J. K. Rowling,4.5,,,136,paperback,Fiction
Peter and Wendy,James Matthew Barrie,,,,306,paperback,Children
Crown of Midnight,Sarah J. Maas,3.5,9781619630628,,435,paperback,Juvenile Fiction
The Wind in the Willows,Kenneth Grahame,4,,,324,ebook,Juvenile Fiction
"Moomin, Mymble and Little My",Tove Jansson,,9780953522743,,24,paperback,Children's stories
The Handmaid's Tale,Margaret Atwood,,9780099740919,,322,paperback,Fiction
The Wonderful Wizard of Oz,L. Frank Baum,,,,191,paperback,Fantasy
The Wind in the Willows,Kenneth Grahame,,9780448110790,,132,paperback,Juvenile Fiction
The Brothers Lionheart,Astrid Lindgren,,9781930900240,,0,paperback,Juvenile Fiction
The Wonderful Wizard of Oz,Lyman Frank Baum,,,,224,paperback,Fiction
The Lord of the Rings,John Ronald Reuel Tolkien,4.5,,,1176,paperback,Fiction
Prince Caspian Movie Tie-in Edition (rack),C. S. Lewis,5,9780061231063,,260,paperback,Fiction
The Subtle Knife,Philip Pullman,4,9780375846724,,368,paperback,Fantasy
"The Hobbit, Or, There and Back Again",John Ronald Reuel Tolkien,,,,358,paperback,Fiction
The Gremlins,Roald Dahl,5,,,64,paperback,Comics & Graphic Novels
The Left Hand of Darkness,Ursula K. Le Guin,4,,,332,paperback,Fiction
The Shadow Rising,Robert Jordan,4,9780812513738,,1015,paperback,Fiction
James and the Giant Peach,Roald Dahl,,9780140306231,,116,paperback,Juvenile Fiction
Moominland Midwinter,Tove Jansson,,9780140305029,,121,paperback,Juvenile Nonfiction
Through the Looking-Glass,Lewis Carroll,,9780688120498,,248,paperback,Juvenile Fiction
The Eyes of the Dragon,Stephen King,,,,344,paperback,Fiction
The Story of Doctor Dolittle,Forgotten Books,,9781440067761,,180,paperback,Animals
The Shadow Rising,Robert Jordan,4,9780812513738,,1015,paperback,Fiction
The School for Good and Evil,Soman Chainani,4.5,9780007492930,,0,paperback,Juvenile Nonfiction
The Wizard of Oz,L. Frank Baum,4.5,9780439236416,,164,paperback,Juvenile Fiction
The Fantastic Flying Books of Mr. Morris Lessmore,William Joyce,1,9781442457027,,56,paperback,Juvenile Fiction
The Little Prince,,4.5,9780152023980,,106,paperback,Juvenile Fiction
The Dragonbone Chair,Tad Williams,,9780756402693,,674,paperback,Fiction
James and the Giant Peach,Roald Dahl,,9780140306231,,116,paperback,Juvenile Fiction
The Ice Dragon,George R. R. Martin,,9780765378774,,130,paperback,Juvenile Fiction
Moominland Midwinter,Tove Jansson,,9780140305029,,121,paperback,Juvenile Nonfiction
Tales from Moominvalley,Tove Jansson,,9780312625429,,191,paperback,Juvenile Fiction
Half Magic,Edward Eager,4.5,9780152020682,,212,paperback,Juvenile Fiction
Moominpappa at Sea,Tove Jansson,,9780312608927,,242,paperback,Juvenile Fiction
Harry Potter and the Chamber of Secrets,J. K. Rowling,5,9781551922447,,260,paperback,Juvenile Fiction
Comet in Moominland,Tove Jansson,,9780312608880,,193,paperback,Juvenile Fiction
The Talisman,"Stephen King, Peter Straub",4.5,9780345444882,,774,paperback,Fiction
Through the Looking-Glass,Lewis Carroll,,9780688120498,,248,paperback,Juvenile Fiction
Finn Family Moomintroll,Tove Jansson,,9780312608897,,173,paperback,Juvenile Fiction
The Eyes of the Dragon,Stephen King,,,,344,paperback,Fiction
Sea Fairies,L. Frank Baum,,,,677,ebook,Fiction
Moominsummer Madness,Tove Jansson,,9780312608910,,173,paperback,Juvenile Fiction
Pippi Goes Aboard,Astrid Lindgren,,9780140309133,,180,paperback,Juvenile Fiction
Six of Crows,Leigh Bardugo,,9780606399449,,0,paperback,Brigands and robbers
The Book of Three,Lloyd Alexander,3.5,9780805080483,,230,paperback,Juvenile Fiction
Avatar,"Michael Dante DiMartino, Bryan Konietzko, Nickelodeon (Firm)",5,9780345518521,,85,paperback,Comics & Graphic Novels
Howl's Moving Castle,Diana Wynne Jones,,9780007299263,,0,paperback,Juvenile Fiction
Tales from Earthsea,Ursula K. Le Guin,4,9780441009329,,340,paperback,Fiction
Peter Pan,James Matthew Barrie,,9780140350661,,226,paperback,Juvenile Fiction
Harry Potter and the Sorcerer's Stone,J.K. Rowling,,9781524721251,,0,paperback,Juvenile Fiction
Pippi in the South Seas,Astrid Lindgren,,,,136,paperback,Juvenile Fiction
Winnie-the-Pooh,Alan Alexander Milne,,,,184,paperback,Juvenile Fiction
The Moomins and the Great Flood,Tove Jansson,,9781908745132,,0,paperback,Children's stories
Harry Potter and the Half-Blood Prince,J. K. Rowling,,9780439791328,,652,paperback,Juvenile Fiction
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,,9780807286029,,0,paperback,Juvenile Fiction
The Wizard of Oz,Lyman Frank Baum,,9780883657973,,200,paperback,Fiction
Where the Wild Things are,Maurice Sendak,,,,48,paperback,Juvenile Fiction
The Illustrated Man,Ray Bradbury,4,,,264,paperback,Fiction
James and the Giant Peach,Roald Dahl,5,9780141304670,,164,paperback,Juvenile Fiction
The Farthest Shore,Ursula K. Le Guin,,,,408,paperback,Fiction
The Magicians of Caprona,Diana Wynne Jones,,9780006755166,,266,paperback,Juvenile Fiction
Where the Wild Things are,Maurice Sendak,,,,48,paperback,Juvenile Fiction
Avatar,"Michael Dante DiMartino, Bryan Konietzko, Nickelodeon (Firm)",5,9780345518521,,85,paperback,Comics & Graphic Novels
James and the Giant Peach,Roald Dahl,5,9780141304670,,164,paperback,Juvenile Fiction
A Court of Thorns and Roses,Sarah J. Maas,5,9781408857861,,433,paperback,Fiction
The Horse and His Boy,Clive Staples Lewis,,9780020442004,,228,paperback,Juvenile Fiction
Around the World in Eighty Days,Jules Verne,,9780553213560,,163,paperback,Fiction
The Illustrated Man,Ray Bradbury,4,,,264,paperback,Fiction
The Book of Three,Lloyd Alexander,3.5,9780805080483,,230,paperback,Juvenile Fiction
An Ember in the Ashes,Sabaa Tahir,,9780593206935,,482,paperback,Juvenile Fiction
The Voyage of the Dawn Treader,Clive Staples Lewis,5,9780140302295,,220,paperback,Juvenile Fiction
The Dark is Rising,Susan Cooper,3.5,9780689303173,,348,paperback,Juvenile Fiction
The Farthest Shore,Ursula K. Le Guin,,,,408,paperback,Fiction
Harry Potter and the Order of the Phoenix,J. K. Rowling,,9780545582971,,870,paperback,Juvenile Fiction
The Magicians of Caprona,Diana Wynne Jones,,9780006755166,,266,paperback,Juvenile Fiction
The Ickabog,J. K. Rowling,,9781338732870,,304,paperback,Juvenile Fiction
The Life and Adventures of Santa Claus,Lyman Frank Baum,,,,268,paperback,Children's literature
The Field Guide,"Tony DiTerlizzi, Holly Black",4,9780689859366,,138,paperback,Juvenile Fiction
The Wonderful Wizard of Oz. Con CD Audio,L. Frank Baum,,9783852722894,,92,paperback,fantasy
The Hobbit,J. R. R. Tolkien,,9780618150823,,352,paperback,Juvenile Fiction
Now We are Six,Alan Alexander Milne,,9780440464853,,116,paperback,Juvenile Nonfiction
The Neverending Story,"Michael Ende, Ralph Manheim",,9780140317930,,444,paperback,Children's stories
"The Lion, the Witch and the Wardrobe",C. S. Lewis,,9781410499257,,0,paperback,Juvenile Fiction
Castle in the Air,Diana Wynne Jones,,9780006755302,,290,paperback,Juvenile Fiction
The Wizard of Oz,Lyman Frank Baum,,9780723292197,,0,paperback,Cyclones
Horton Hears a Who!,Dr. Seuss,3.5,,,100,paperback,Juvenile Fiction
The Magic Finger,Roald Dahl,,9780140371581,,68,paperback,Fiction
The Lives of Christopher Chant,Diana Wynne Jones,,9780006755180,,326,paperback,Juvenile Fiction
Brisingr,Christopher Paolini,5,9780552559966,,790,paperback,Juvenile Fiction
How to Train Your Dragon,Cressida Cowell,,9780340997161,,0,paperback,Children's stories
Eragon,Christopher Paolini,5,9780552553209,,530,paperback,Juvenile Nonfiction
The Chronicles of Narnia - the Horse and His Boy,C. S. Lewis,,9780007588541,,208,paperback,Children's stories
Karlson on the Roof,"Astrid Lindgren, Patricia Crampton",,9780416580105,,120,paperback,"Children's literature, Swedish"
Charlotte's Web,Elwyn Brooks White,,9780590302715,,196,paperback,Juvenile Fiction
A Tale of Sorcery...,Chris Colfer,,9780316300964,,544,paperback,fantasy
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.5,9780747532699,,223,paperback,Juvenile Fiction
The Magic of Oz,Lyman Frank Baum,,9780345282354,,262,paperback,Juvenile Fiction
Mary Poppins Opens the Door,P. L. Travers,,9780440404323,,260,paperback,Juvenile Fiction
Mary Poppins,Pamela Lyndon Travers,,9780899663906,,0,paperback,Fantasy
The Winter King,Bernard Cornwell,,9780312156961,,0,paperback,Fiction
The wonderful adventures of Nils,Selma Lagerlöf,,,,539,paperback,Sweden
The Drawing of the Three,Stephen King,4,9780451163523,,468,paperback,Fiction
The Plague of Fantasies,Slavoj Žižek,3.5,9781859841938,,262,paperback,Computers
The Magic of Oz,Lyman Frank Baum,,9780345282354,,262,paperback,Juvenile Fiction
The Winter King,Bernard Cornwell,,9780312156961,,0,paperback,Fiction
Mary Poppins Opens the Door,P. L. Travers,,9780440404323,,260,paperback,Juvenile Fiction
Mary Poppins,Pamela Lyndon Travers,,9780899663906,,0,paperback,Fantasy
The Little Prince,Antoine de Saint-Exupéry,,9780140301847,,109,paperback,Death
The wonderful adventures of Nils,Selma Lagerlöf,,,,539,paperback,Sweden
The Battle of the Labyrinth,Rick Riordan,,9780739364741,,0,paperback,Juvenile Fiction
Tehanu,Ursula K. Le Guin,,9780553288735,,252,paperback,Fiction
Charlie and the Chocolate Factory,Roald Dahl,,,,0,paperback,Children's plays
The Cat in the Hat,Dr. Seuss,4,9780449810866,,73,paperback,Juvenile Fiction
The Emerald City of Oz,Lyman Frank Baum,,,,314,paperback,Juvenile Fiction
The Happy Prince and Other Stories,"Oscar Wilde, Michael Mac Liammoir",,9780140350500,,185,paperback,Fairy tales
Artemis Fowl,Eoin Colfer,,9780670913442,,308,paperback,Juvenile Fiction
Fantastic Beasts and where to Find Them,J. K. Rowling,,9781338109061,,0,paperback,Juvenile Nonfiction
The Cruel Prince,Holly Black,,9781471407031,,0,paperback,Courts and courtiers
Peter Pan,James Matthew Barrie,,9781566197458,,272,paperback,Fantasy
Five Children and it,Edith Nesbit,,9780140301281,,228,paperback,Juvenile Fiction
Crossroads of Twilight,Robert Jordan,4,9780312864590,,724,paperback,Fiction
Doctor Dolittle,Hugh Lofting,,9780397309375,,246,paperback,Medical
Anansi Boys,Neil Gaiman,4,9780755331147,,457,paperback,Anansi (Legendary character)
The Gunslinger,Stephen King,4,9780451160522,,324,paperback,Adventure stories
The Fellowship of the Ring,John Ronald Reuel Tolkien,,,,0,paperback,"Baggins, Frodo (Fictitious character)"
Where the Wild Things Are,,,,,48,paperback,Juvenile Fiction
Bridge to Terabithia,Katherine Paterson,,9780140312607,,141,paperback,Bullying
The Tombs of Atuan,Ursula K. Le Guin,,9780140306323,,154,paperback,Children's stories
The Magician's Nephew,Clive Staples Lewis,,,,171,paperback,Adventure stories
The Road to Oz,L. Frank Baum,,9780345334671,,276,paperback,Fiction
Fox In Socks,"Dr. Seuss, Random House Children's Books",,9780394883236,,61,paperback,Children's stories
A Wrinkle in Time,Madeleine L'Engle,4.5,9780440998051,,228,paperback,Brothers and sisters
The Black Cauldron,Lloyd Alexander,,,,228,paperback,Juvenile Fiction
Mrs Frisby and the Rats of NIMH,Robert C. O'Brien,,9780140307252,,197,paperback,Animals
Mago de Oz / the Wizard of Oz,"L. Frank Baum, Rubén Pagliero",,9789507820885,,0,paperback,Fantasy
Tom's Midnight Garden,Philippa Pearce,,9780140308938,,228,paperback,Fiction
The House at Pooh Corner,Alan Alexander Milne,,,,202,paperback,Juvenile Fiction
A Court of Mist and Fury,Sarah J. Maas,5,9781408857885,,645,paperback,Fiction
The Ones who Walk Away from Omelas,Ursula K. Le Guin,5,9780886825010,,0,paperback,Conduct of life
Where the wild things are,,,9780590045377,,40,paperback,Fantasy
The Foot Book,Dr. Seuss,,,,34,paperback,Juvenile Fiction
Fictions in Science,Mauricio Suárez,,9781135854713,,494,ebook,Philosophy
Time in Fiction,"Craig Bourne, Emily Caddick Bourne",,9780199675319,,280,paperback,Literary Criticism
The Symbolic Species Evolved,"Theresa Schilhab, Frederik Stjernfelt, Terrence Deacon",,9789400723368,,291,ebook,Science
Springer Handbook of Model-Based Science,"Lorenzo Magnani, Tommaso Bertolotti",,9783319305264,,1179,ebook,Technology & Engineering
The Literary Imagination from Erasmus Darwin to H.G. Wells,Michael R. Page,,9781409438700,,233,paperback,Biography & Autobiography
Nanovision,Colin Milburn,,9780822391487,,293,ebook,Science
Nanoscale Science,M. Gail Jones,,9781933531052,,172,paperback,Education
Empathy and Reading,Suzanne Keen,,9781000595185,,285,paperback,Language Arts & Disciplines
The New Quantum Universe,"Tony Hey, Patrick Walters",,9781139855532,,378,ebook,Science
Models and Idealizations in Science,"Alejandro Cassini, Juan Redmond",,9783030658021,,276,ebook,Philosophy
Logos of Phenomenology and Phenomenology of The Logos. Book Three,Anna-Teresa Tymieniecka,,9781402037177,,588,paperback,Nature
Tomorrow Is Too Late,Grace Maddrell,,9781911648338,,235,paperback,Young Adult Nonfiction
Aesthetics and the Sciences of Mind,"Greg Currie, Matthew Kieran, Aaron Meskin, Jon Robson",,9780191046094,,442,ebook,Philosophy
Hurricanes,Paul V. Kislow,1,9781594547270,,280,paperback,Nature
Reading Science,"J. R. Martin, Robert Veel",,9780415167895,,384,paperback,Language Arts & Disciplines
The Philosophy of 'As If',Hans Vaihinger,,9781000385885,,354,paperback,Business & Economics
Space Exploration and Humanity,American Astronautical Society,,9781851095193,,1557,ebook,Science
