,Unnamed: 0,Good_Reads_Popularity_Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format,Rank_Score,Rating_Score,NumRatings_Score,Quality_Score
19,19,28.0,Lord of the Flies,William Golding,3.7,3065278.0,9780140283334,0140283331,"Fiction, Classics, Young Adult, School, Dystopia, Literature, Read For School",,182,Paperback,0.9471624266144814,0.675,0.32886164765937315,0.6565060185684637
32,32,46.0,The Secret Garden,Frances Hodgson Burnett,4.16,1238963.0,9780517189603,0517189607,"Fiction, Classics, Childrens, Young Adult, Historical Fiction, Middle Grade, Audiobook",,331,Hardcover,0.9119373776908024,0.79,0.13285755267452756,0.6561987325913324
42,42,58.0,Where the Wild Things Are,Maurice Sendak,4.25,1034305.0,9780099408390,B00BG704OS,"Picture Books, Childrens, Fiction, Classics, Fantasy, Adventure, Young Adult",,38,Paperback,0.888454011741683,0.8125,0.11089321132519381,0.6560868057667192
119,119,159.0,Gone Girl,Gillian Flynn,4.14,3296196.0,9780307588371,0307588378,"Fiction, Mystery, Thriller, Mystery Thriller, Crime, Suspense, Contemporary",,415,Paperback,0.6908023483365949,0.7849999999999999,0.353644269280348,0.6536116544042356
72,72,97.0,And Then There Were None,Agatha Christie,4.28,1497601.0,9780312330873,0312330871,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Classics, Audiobook",,264,Paperback,0.812133072407045,0.8200000000000001,0.1606151449402049,0.6531870543368126
55,55,74.0,The Pillars of the Earth,Ken Follett,4.34,797476.0,9780451222138,045122213X,"Historical Fiction, Fiction, Historical, Fantasy, Classics, Audiobook, Medieval","Kingsbridge, #1",976,Paperback,0.8571428571428572,0.835,0.08547620833766646,0.6531547663701309
78,78,105.0,The Shining,Stephen King,4.28,1615787.0,9780450040184,0450040186,"Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Mystery","The Shining, #1",497,Paperback,0.7964774951076321,0.8200000000000001,0.17329912331736272,0.6524441546062487
20,20,29.0,Romeo and Juliet,William Shakespeare,3.74,2725967.0,9780743477116,0743477111,"Classics, Plays, Fiction, School, Read For School, Literature, High School",,281,Mass Market Paperback,0.9452054794520548,0.685,0.2924460537046595,0.6519128832891785
50,50,67.0,Water for Elephants,Sara Gruen,4.11,1666323.0,9781565125605,1565125606,"Fiction, Historical Fiction, Romance, Historical, Adult Fiction, Contemporary, Audiobook",,368,Paperback,0.8708414872798435,0.7775000000000001,0.17872275666875836,0.6511410609871505
60,60,79.0,Outlander,Diana Gabaldon,4.26,1116518.0,9780440242949,0440242940,"Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical, Historical Romance","Outlander, #1",850,Mass Market Paperback,0.8473581213307241,0.815,0.11971648916115808,0.6492686526229705
23,23,33.0,Dracula,Bram Stoker,4.02,1382011.0,9780393970128,0393970124,"Horror, Fiction, Fantasy, Gothic, Paranormal, Literature, Vampires",,488,Paperback,0.9373776908023483,0.7549999999999999,0.1482097749250113,0.6488968664318399
214,214,284.0,1984,George Orwell,4.2,5063858.0,9780452284234,B00A2MTYAI,"Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels",,368,Paperback,0.4461839530332681,0.8,0.5433535968328798,0.647384387466537
101,101,135.0,Six of Crows,Leigh Bardugo,4.47,1065200.0,9781627792127,1627792120,"Fantasy, Young Adult, Fiction, Young Adult Fantasy, LGBT, Adventure, Magic","Six of Crows, #1",480,Hardcover,0.7377690802348337,0.8674999999999999,0.11420892987021851,0.646744502526263
43,43,59.0,The Lovely Bones,Alice Sebold,3.86,2421669.0,9780316166683,0316166685,"Fiction, Mystery, Young Adult, Contemporary, Fantasy, Thriller, Crime",,372,Mass Market Paperback,0.8864970645792564,0.715,0.2597881310047427,0.6440712988959997
120,120,160.0,The Addiction Manifesto,Jerry Weaver,4.76,1238.0,9781638377634,1638377634,"Nonfiction, Self Help, Memoir, Psychology, Mental Health, Biography",,178,Paperback,0.6888454011741683,0.94,2.2215689879272215e-05,0.6422169042160119
77,77,104.0,Fahrenheit 451,Ray Bradbury,3.97,2635709.0,9780307347978,0307347974,"Fiction, Science Fiction, Dystopia, School, Literature, Novels, Audiobook",,158,Mass Market Paperback,0.7984344422700587,0.7425,0.2827593689842568,0.6415484528135789
63,63,84.0,The Brothers Karamazov,Fyodor Dostoevsky,4.38,358572.0,9780374528379,0374528373,"Fiction, Russia, Classics, Russian Literature, Literature, Philosophy, Novels",,796,Paperback,0.837573385518591,0.845,0.03837207717451627,0.6414863656732768
59,59,78.0,The Color Purple,Alice Walker,4.27,724773.0,9780143135692,0143135694,"Fiction, Historical Fiction, Feminism, LGBT, Historical, Queer, Banned Books",,287,Paperback,0.8493150684931507,0.8174999999999999,0.07767356437006875,0.6404971582158048
57,57,76.0,Rebecca,Daphne du Maurier,4.25,678317.0,9780316323703,B00HG5I1TE,"Fiction, Mystery, Gothic, Romance, Classics, Historical Fiction, Thriller",,449,Kindle Edition,0.8532289628180039,0.8125,0.07268780548585875,0.6377291920759656
73,73,98.0,The Complete Stories and Poems,Edgar Allan Poe,4.4,287738.0,9780385074070,0385074077,"Classics, Poetry, Horror, Fiction, Short Stories, Gothic, Mystery",,821,Hardcover,0.8101761252446185,0.8500000000000001,0.030770018348871973,0.6352365358983727
64,64,85.0,A Tree Grows in Brooklyn,Betty Smith,4.3,489023.0,9780061120077,0061120073,"Fiction, Historical Fiction, Classics, Young Adult, Coming Of Age, Historical, New York",,496,Paperback,0.8356164383561644,0.825,0.05237236200756428,0.6344972000909321
76,76,101.0,Winnie-the-Pooh,A.A. Milne,4.38,386930.0,9780525467564,0525467564,"Childrens, Fiction, Classics, Fantasy, Animals, Audiobook, Middle Grade","Winnie-the-Pooh, #1",161,Hardcover,0.8043052837573386,0.845,0.04141551936580323,0.6339302007807854
81,81,109.0,Clockwork Angel,Cassandra Clare,4.31,857912.0,9781416975861,1416975861,"Fantasy, Young Adult, Romance, Paranormal, Steampunk, Historical Fiction, Fiction","The Infernal Devices, #1",479,Hardcover,0.7886497064579256,0.8274999999999999,0.09196233120502731,0.6339030094157383
83,83,112.0,It,Stephen King,4.24,1202429.0,9780450411434,0450411435,"Horror, Fiction, Thriller, Fantasy, Classics, Audiobook, Mystery",,1184,Paperback,0.7827788649706457,0.81,0.12893664439409602,0.6329288773411854
47,47,63.0,Life of Pi,Yann Martel,3.94,1700609.0,9780770430078,0770430074,"Fiction, Fantasy, Classics, Adventure, Magical Realism, Novels, Literature",,460,Paperback,0.8786692759295499,0.735,0.1824024047035445,0.6327679201582737
117,117,157.0,The Battle of the Labyrinth,Rick Riordan,4.42,1164473.0,9781423101468,1423101464,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #4",361,Hardcover,0.6947162426614482,0.855,0.12486312398318948,0.6323948416611593
88,88,119.0,The Count of Monte Cristo,Alexandre Dumas,4.31,967913.0,9780140449266,0140449264,"Fiction, Historical Fiction, Adventure, Literature, France, Historical, Audiobook",,1276,Paperback,0.7690802348336595,0.8274999999999999,0.10376787759348056,0.6319620281067849
35,35,51.0,A Wrinkle in Time,Madeleine L'Engle,3.98,1246378.0,9781250153272,1250153271,"Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade","Time Quintet, #1",218,Paperback,0.9021526418786693,0.745,0.13365334658976816,0.6314514971171094
62,62,83.0,My Sister’s Keeper,Jodi Picoult,4.1,1254269.0,9780743454537,0743454537,"Fiction, Chick Lit, Young Adult, Drama, Adult Fiction, Realistic Fiction, Contemporary",,423,Paperback,0.8395303326810176,0.7749999999999999,0.13450022585951377,0.6310076396351328
37,37,53.0,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88,1728881.0,9780143131847,0143131842,"Horror, Fiction, Science Fiction, Gothic, Fantasy, School, Literature",,260,Paperback,0.898238747553816,0.72,0.1854366171879251,0.6309188411854352
51,51,68.0,The Bell Jar,Sylvia Plath,4.06,1100469.0,9780571268863,0571268862,"Fiction, Feminism, Mental Health, Psychology, Literature, Literary Fiction, Novels",,294,Paperback,0.8688845401174168,0.7649999999999999,0.11799407560138785,0.629219653929701
67,67,89.0,The Golden Compass,Philip Pullman,4.03,1578839.0,9780679879244,B001NAR73E,"Fantasy, Young Adult, Fiction, Childrens, Adventure, Middle Grade, Audiobook","His Dark Materials, #1",399,Hardcover,0.8277886497064579,0.7575000000000001,0.1693337836571726,0.6280306083409076
197,197,264.0,The Fellowship of the Ring,J.R.R. Tolkien,4.4,2982506.0,9780618346257,0618346252,"Fantasy, Classics, Fiction, Adventure, Audiobook, High Fantasy, Science Fiction Fantasy","The Lord of the Rings, #1",398,Paperback,0.48532289628180036,0.8500000000000001,0.31997837672851753,0.6263253182525795
124,124,165.0,Clockwork Princess,Cassandra Clare,4.55,464113.0,9781406321340,1406321346,"Fantasy, Young Adult, Romance, Paranormal, Historical Fiction, Steampunk, Urban Fantasy","The Infernal Devices, #3",567,Paperback,0.6790606653620352,0.8875,0.04969896666991853,0.6259399080079884
114,114,152.0,Lonesome Dove,Larry McMurtry,4.55,211846.0,9780671683900,067168390X,"Fiction, Historical Fiction, Westerns, Classics, Historical, Adventure, Audiobook","Lonesome Dove, #1",960,Mass Market Paperback,0.7045009784735812,0.8875,0.022625123970525466,0.6255315256110267
61,61,80.0,Anna Karenina,Leo Tolstoy,4.1,889947.0,9780345803924,0345803922,"Fiction, Romance, Russia, Historical Fiction, Literature, Russian Literature, Novels",,964,Paperback,0.8454011741682974,0.7749999999999999,0.09540039702764802,0.6227003927989863
91,91,122.0,The Very Hungry Caterpillar,Eric Carle,4.34,531355.0,9780241003008,B01BITQJP6,"Picture Books, Childrens, Fiction, Animals, Classics, Food, Counting",,26,Board book,0.7632093933463797,0.835,0.05691552424896212,0.6225312293988354
82,82,111.0,The Secret Life of Bees,Sue Monk Kidd,4.1,1326085.0,9780142001745,0142001740,"Fiction, Historical Fiction, Classics, Young Adult, Historical, Contemporary, Coming Of Age",,302,Paperback,0.7847358121330724,0.7749999999999999,0.14220767505936793,0.61923587179811
107,107,144.0,Watchmen,Alan Moore,4.38,578899.0,9780930289232,0930289234,"Graphic Novels, Fiction, Science Fiction, Fantasy, Graphic Novels Comics, Classics, Comic Book",,416,Paperback,0.7201565557729941,0.845,0.06201804965775496,0.6180436513576872
69,69,92.0,Angela’s Ashes,Frank McCourt,4.15,645632.0,9780007205233,0007205236,"Nonfiction, Memoir, Biography, Classics, Ireland, Autobiography, Biography Memoir","Frank McCourt, #1",452,Paperback,0.821917808219178,0.7875000000000001,0.06917998025057366,0.6165244471174379
87,87,117.0,The Master and Margarita,Mikhail Bulgakov,4.29,388621.0,9780679760801,0679760806,"Fiction, Russia, Fantasy, Russian Literature, Magical Realism, Literature, Novels",,372,Paperback,0.7729941291585127,0.8225,0.04159700116090395,0.6148977825798542
155,155,209.0,A Storm of Swords,George R.R. Martin,4.55,820726.0,9780553573428,055357342X,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Science Fiction Fantasy, Audiobook, Dragons","A Song of Ice and Fire, #3",1177,Mass Market Paperback,0.5929549902152642,0.8875,0.08797144886758472,0.6139816097707123
56,56,75.0,Watership Down,Richard Adams,4.09,494130.0,9780380395866,038039586X,"Classics, Fiction, Fantasy, Young Adult, Animals, Adventure, Childrens","Watership Down, #1",478,Mass Market Paperback,0.8551859099804305,0.7725,0.05292045634675966,0.6132765915817976
68,68,90.0,Vampire Academy,Richelle Mead,4.11,667681.0,9781595141743,159514174X,"Fantasy, Young Adult, Vampires, Paranormal, Romance, Urban Fantasy, Fiction","Vampire Academy, #1",332,Paperback,0.8258317025440314,0.7775000000000001,0.0715463268503228,0.6130945073485886
179,179,241.0,Mockingjay,Suzanne Collins,4.1,3460472.0,9780439023511,0439023513,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure","The Hunger Games, #3",390,Hardcover,0.5303326810176126,0.7749999999999999,0.37127472662627703,0.6129018519109724
108,108,145.0,The Girl Who Played With Fire,Stieg Larsson,4.26,955897.0,9780307269980,0307269981,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook",Millennium #2,503,Hardcover,0.7181996086105675,0.815,0.10247829435874947,0.6126694757423292
53,53,71.0,Catch-22,Joseph Heller,3.99,861661.0,9780684833392,0684833395,"Classics, Fiction, Historical Fiction, War, Humor, Literature, Novels",,453,Paperback,0.863013698630137,0.7475,0.0923646820328408,0.6125945951657444
89,89,120.0,Eragon,Christopher Paolini,3.96,1873609.0,9780375826696,B0042B4JAK,"Fantasy, Young Adult, Fiction, Dragons, Adventure, Magic, High Fantasy",The Inheritance Cycle #1,503,Paperback,0.7671232876712328,0.74,0.2009691406896029,0.6120231070902089
80,80,107.0,A Prayer for Owen Meany,John Irving,4.24,329220.0,9780552135399,0552135399,"Fiction, Classics, Contemporary, Literature, Literary Fiction, Historical Fiction, Novels",,637,Paperback,0.7925636007827789,0.81,0.035221956742939466,0.6119463893814296
71,71,96.0,The Poisonwood Bible,Barbara Kingsolver,4.1,769680.0,9780060786502,0060786507,"Fiction, Historical Fiction, Africa, Classics, Literary Fiction, Historical, Literature",,546,Paperback,0.8140900195694716,0.7749999999999999,0.08249308120779086,0.6116457751943156
84,84,114.0,The Red Tent,Anita Diamant,4.2,617456.0,9780312353766,0312353766,"Historical Fiction, Fiction, Historical, Religion, Book Club, Feminism, Womens",,324,Hardcover,0.7788649706457926,0.8,0.06615607069483273,0.6112552603351563
123,123,164.0,The Sea of Monsters,Rick Riordan,4.24,1285126.0,9780786856862,0786856866,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #2",279,Hardcover,0.6810176125244618,0.81,0.13781186616195193,0.6097073696716035
45,45,61.0,The Adventures of Huckleberry Finn,Mark Twain,3.83,1303886.0,9780142437179,0142437174,"Fiction, Classics, Historical Fiction, Literature, Adventure, Young Adult, School",,327,Paperback,0.8825831702544031,0.7075,0.1398252301336193,0.6093521000970056
94,94,125.0,Charlie and the Chocolate Factory,Roald Dahl,4.16,892169.0,9780142403884,0142403881,"Fiction, Fantasy, Childrens, Young Adult, Middle Grade, Classics, Humor","Charlie Bucket, #1",176,Paperback,0.7573385518590998,0.79,0.09563886689678687,0.6082443546889716
36,36,52.0,The Odyssey,Homer,3.82,1136887.0,9780143039952,0143039954,"Fiction, Poetry, Mythology, Fantasy, School, Literature, Adventure",,541,Paperback,0.9001956947162426,0.705,0.12190253450971314,0.608024557306489
66,66,88.0,The Road,Cormac McCarthy,3.99,974995.0,9780307265432,0307265439,"Fiction, Science Fiction, Dystopia, Post Apocalyptic, Horror, Literature, Novels",,241,Hardcover,0.8297455968688845,0.7475,0.10452793322500233,0.6073183825234717
92,92,123.0,Looking for Alaska,John Green,3.96,1691145.0,9781435249158,1435249151,"Young Adult, Fiction, Contemporary, Romance, Realistic Fiction, Coming Of Age, Teen",,221,Paperback,0.761252446183953,0.74,0.18138670765515108,0.6056597884597761
48,48,64.0,A Tale of Two Cities,Charles Dickens,3.87,986135.0,9780141439600,0141439602,"Classics, Fiction, Historical Fiction, Literature, Historical, Novels, School",,489,Paperback,0.8767123287671232,0.7175,0.1057235022358965,0.604358957750755
138,138,183.0,The Hunger Games Trilogy Boxset,Suzanne Collins,4.49,228722.0,9780545265355,0545265355,"Young Adult, Fiction, Fantasy, Dystopia, Science Fiction, Romance, Adventure","The Hunger Games, #1-3",1155,Hardcover,0.6438356164383562,0.8725,0.024436292967639467,0.603317977351499
125,125,167.0,How the Grinch Stole Christmas!,Dr. Seuss,4.38,433741.0,9780007173044,0007173040,"Childrens, Picture Books, Christmas, Classics, Fiction, Poetry, Fantasy",,64,Hardcover,0.675146771037182,0.845,0.04643937762154531,0.6028965371646818
49,49,65.0,Lolita,Vladimir Nabokov,3.87,899617.0,9780679723165,0679723161,"Fiction, Literature, Russia, Novels, Romance, Russian Literature, Literary Fiction",,368,Paperback,0.8747553816046967,0.7175,0.09643820244374735,0.6015483960121111
113,113,151.0,The Little House Collection,Laura Ingalls Wilder,4.36,155519.0,9780060529963,0060529962,"Classics, Historical Fiction, Childrens, Fiction, Young Adult, Historical, Middle Grade","Little House, #1-9",2700,Paperback,0.7064579256360078,0.8400000000000001,0.01657998791337684,0.6007594783873462
