Title,Description,Thumbnail
The Kite Runner,"Drachenläufer erzählt vom Schicksal der beiden Jungen Amir und Hassan und ihrer ungücklichen Freundschaft. Eine dramatische Geschichte von Liebe und Verrat, Trennung und Wiedergutmachung vor dem Hintergrund der jüngsten Vergangenheit Afghanistans.",http://books.google.com/books/content?id=O00UAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Game of Thrones,No description available.,
The Little Prince,"Antoine de Saint-Exupérys Meisterwerk »Der kleine Prinz« gehört zu den wichtigsten Büchern des 20. Jahrhunderts. Es handelt von der Suche nach echter Freundschaft und Liebe, nach Wahrheit und Selbsterkenntnis. Das macht es zu einer Geschichte, die sowohl Kinder als auch Erwachsene tief im Herzen berührt. Der kleine Prinz nimmt uns auf seiner Reise von Planet zu Planet an die Hand und zeigt uns, dass das Kind in uns lebendig ist, dass wir alles besitzen für ein schöpferisches und erfülltes Leben. Weltweit wurde das Buch in über 210 Sprachen und Dialekte übersetzt. Inhalt des Märchens: In der Sahara, einer Wüste in Afrika, begegnet einem notgelandeten Piloten ein kleines Kerlchen, das von einem fernen Stern zu kommen scheint. Der kleine Prinz enthüllt ihm nach und nach, ohne auch nur entfernt auf irgendeine Frage zu antworten, von der Geschichte seiner Herkunft. Einst war er seiner Rose auf seinem winzigen Planeten entflohen und reiste von Planet zu Planet, wo er die sonderbare Welt der großen Leute kennenlernte. Auf der Suche nach Freunden fand er niemanden, bis er auf der Erde dem Fuchs begegnete. Der Fuchs weihte ihn in die größten Geheimnisse des Lebens ein, und der kleine Prinz erkannte, was für ein Glück er aufgegeben hatte. Nun versucht er alles, um wieder zu seiner großen Liebe zurückzukehren. Die Schlange kann ihm dabei helfen.",http://books.google.com/books/content?id=duM8EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Thousand Splendid Suns,"Der Weltbestseller vom Autor von ›Drachenläufer‹ und ›Traumsammler‹ Mariam ist fünfzehn, als sie aus der Provinz nach Kabul geschickt und mit dem dreißig Jahre älteren Schuhmacher Raschid verheiratet wird. Jahre später erlebt Laila, ein Mädchen aus der Nachbarschaft, ein ähnliches Schicksal. Als ihre Familie bei einem Bombenangriff ums Leben kommt, wird sie Raschids Zweitfrau. Nach anfänglichem Misstrauen werden Mariam und Laila zu engen Freundinnen. Gemeinsam wehren sie sich gegen Raschids Brutalität und planen die Flucht... Ein ergreifender Roman über das Schicksal zweier Frauen in Afghanistan, wie ihn nur einer schreiben kann: der große Geschichtenerzähler Khaled Hosseini.",http://books.google.com/books/content?id=IOKcAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,No description available.,
The Girl With the Dragon Tattoo,"Wie alles begann. Der erste Band von Stieg Larssons Trilogie in moderner Neuausstattung Was geschah mit Harriet Vanger? Die junge Frau verschwand spurlos während eines Familientreffens auf der Privatinsel des mächtigen Industriellenclans. Auch Jahrzehnte später bleibt ihr Schicksal ungeklärt. Bis der in Ungnade gefallene Journalist Mikael Blomkvist und die rebellische, geniale Hackerin Lisbeth Salander im Auftrag des Onkels recherchieren. Was sie über die Familie Vanger zutage fördern, lässt alle Beteiligten wünschen, sie hätten sich nie mit diesem Fall beschäftigt. ""Die Millennium-Trilogie hat die Krimiwelt aus den Angeln gehoben."" Brigitte",http://books.google.com/books/content?id=LAJOZsWyJ3YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Giving Tree,"Der Baum schenkt dem Menschen, was er braucht: Freude, Genuss, Schatten, Schutz, Nahrung, Material.",
Catching Fire,"For more than a generation, activists and advocacy organizations have been instrumental in agitating for women's health reforms in Ireland. Over the last decade, Irish activists have experienced a number of victories to improve women's health, most notably in 2018 when Ireland passed a referendum to repeal the Eighth amendment, a constitutional ban on abortion. After years of unfavorable laws for women and successive scandals in women's health, Ireland has taken transformative steps to redefine social norms surrounding women's health and reproduction. The case of Ireland's women's health reform offers important insight toward furthering the modern global movement for women's autonomy. Catching Fire narrates the rise of women's health activism in Ireland within a global reproductive justice framework, which aims to understand and dismantle the systems of social inequality that shape, oppress, and restrict reproductive rights and bodily autonomy. The volume focuses on attempts by Irish healthcare reformers and activists to improve Irish women's access to essential healthcare services and links key developments in Irish history to reproductive advocacy efforts in America and beyond. Chapters offer historical context behind the modern reproductive justice movement through case studies on women's health issues such as contraception, abortion, and childbirth in Ireland. Together, these case studies celebrate the ingenuity of Irish activists who personalized reproductive justice through the stories of ordinary women on social media and established the Republic of Ireland as a model for future activist movements. Reaching across groups and eras, Catching Fire highlights the underrecognized historical feminist movements supporting recent women's health activism and the enduring lessons for achieving greater gender equity around the globe.",http://books.google.com/books/content?id=EFezEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Jane Eyre,"Charlotte Brontës Meisterwerk, das sie im Alter von knapp dreißig Jahren verfasste, zählt zu den großen Frauenromanen der Weltliteratur. Im Mittelpunkt des Geschehens stehen die Gouvernante Jane Eyre und Edward Rochester, der Herr von Thornfield Hall. Edward, dessen uneheliche Tochter Adèle von Jane unterrichtet wird, verliebt sich in Jane, aber zur Hochzeit kommt es – vorerst – nicht. Schreckliche Dinge passieren in dem düsteren Herrenhaus, die Jane sich nicht erklären kann. Sie ahnt nicht, dass eine Irre darin haust ... – Mit einer kompakten Biographie der Autorin",http://books.google.com/books/content?id=4DrlDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Alchemist,No description available.,http://books.google.com/books/content?id=YkcpmwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Gone with the Wind,"zeilenPunkt-Weltliteratur! eBooks, die nie in Vergessenheit geraten sollten. Die junge, schöne Scarlett O'Hara, Tochter eines reichen Plantagenbesitzers, verliebt sich unsterblich in den Soldaten Ashley. Als der jedoch ihre Cousine Melanie heiratet, bricht für Scarlett eine Welt zusammen. Dann lernt sie den draufgängerischen Rhett Butler kennen, der sie fasziniert. Doch es fällt ihr schwer, seine Liebe zu erwidern. Mit dem Ausbruch des Amerikanischen Bürgerkrieges gerät ihr Leben in ein ständiges Auf und Ab. Doch in der Liebe ist ihr kein dauerhaftes Glück vergönnt.",http://books.google.com/books/content?id=UnZpEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Memoirs of a Geisha,"Sayo Masuda ist erst zwölf Jahre alt, als sie an ein Geisha-Haus verkauft wird und in die brutale Welt des traditionellen japanischen Amüsements eintaucht. Doch die Maske der ewig lächelnden Geisha täuscht: Die Ausbildung ist hart und unmenschlich, hinter den Kulissen herrschen Rivalität und Schikane. Aber Sayo Masuda hat es geschafft: Nach Jahren der Demütigung und Einsamkeit konnte sie ihr Leben alsGeisha hinter sich lassen und sich eine neue Existenz in Freiheit und Selbstbestimmung aufbauen. Die Frau, die nie wirklich lesen und schreiben gelernt hatte, verfaßte ihren ganz persönlichen Lebensbericht und gewährt, fern jeder Exotik, ungeschminkte Einblicke in den Alltag der Geishas.",http://books.google.com/books/content?id=HKBECgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Charlotte’s Web,"Dieses Buch ist in einfacher Sprache geschrieben. Bei der Übersetzung in einfache Sprache folgen wir weitgehend der Norm DIN 8581-1. Das Buch eignet sich für Leserinnen und Leser, die eine eingeschränkte Lesefähigkeit haben (LRS), Deutsch als Zweitsprache lernen, mit komplexen Texten Schwierigkeiten haben oder einfach ein Buch in kompakter, lesefreundlicher Form genießen wollen. ""Alice im Wunderland"" ist ein klassischer Roman von Lewis Carroll, erstmals veröffentlicht im Jahr 1865. Diese phantastische Erzählung erzählt die Abenteuer des jungen Mädchens Alice, das einem weißen Kaninchen in ein magisches Untergrundreich folgt. In dieser wundersamen Welt trifft Alice auf eine Vielzahl von unvergesslichen Figuren wie die Grinsekatze, die verrückte Hutmacher, die Märzhase und die tyrannische Herzkönigin. Jede Begegnung stellt Alice vor neue Herausforderungen und Rätsel, die sie mit Witz und oft mit einer Prise gesundem Menschenverstand löst. Eines der markantesten Merkmale des Buches ist seine spielerische Manipulation der Logik, was es zu einem der ersten Beispiele in der literarischen Nonsens-Tradition macht. Die Welt, in die Alice stolpert, ist bizarr und die Regeln der Realität gelten hier nicht. Stattdessen wird Alice mit absurden Gedichten, paradoxen Rätseln und merkwürdigen Gesetzen konfrontiert, die sie und den Leser gleichermaßen amüsieren und verwirren. Das Buch bleibt ein zeitloser Klassiker, der für seine kreativen Wortspiele, seine humorvolle Erzählung und seine Fähigkeit, die Realität auf den Kopf zu stellen, geliebt wird.",http://books.google.com/books/content?id=CNwSEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Ender’s Game,"Alles nur ein Spiel ... Nur dem äußeren Anschein nach ist Andrew Wiggin, genannt Ender, ein ganz normaler Junge. Tatsächlich hat man ihn dazu auserwählt, zu einem militärischen Genie zu werden, das die Welt braucht, um einen übermächtigen Feind zu besiegen. Aber Enders Geschichte verläuft anders, als es die Militärs geplant haben. Völlig anders ... Mit »Enders Spiel« hat Orson Scott Card einen einzigartigen dystopischen Roman geschrieben – mit einem Helden, den man nie mehr vergisst.",http://books.google.com/books/content?id=1vxCY_vWtD8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Giver,"In this novel Matty, a young member of a utopian community that values honesty, conceals an emerging healing power that he cannot explain or understand.",http://books.google.com/books/content?id=y28qGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Catcher in the Rye,No description available.,http://books.google.com/books/content?id=XBSRAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Anne of Green Gables,No description available.,http://books.google.com/books/content?id=VJiqSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Seven Husbands of Evelyn Hugo,"Der Gewinner des Lovelybooks Community Award in der Kategorie Unterhaltung! »Dieser hinreißende Roman erweckt die Marilyn Monroe und Elizabeth Taylor in uns allen.« Kirkus Review Eine Liebe, die heller strahlt als die Sterne über Hollywood Die einstige Hollywood-Filmikone Evelyn Hugo ist endlich bereit auszupacken und die Wahrheit über ihr schillerndes Leben und ihre skandalösen sieben Ehen zu erzählen. Sie fragt die Lokaljournalistin Monique Grant als Ghostwriterin an. Monique ist darüber mehr als erstaunt, schließlich hat sie seit Jahren keinen großen Artikel mehr geschrieben. Könnte das ihre Chance sein? In ihrem luxuriösen Apartment über den Dächern Manhattans beginnt Evelyn Monique ihre Geschichte zu erzählen: vom Aufstieg in der Männerwelt Hollywoods, den goldenen Jahren der Filmbranche und einer geheimen großen Liebe, deren Scheitern der Preis für ihren Erfolg war. Als sich die Geschichte dem Ende nähert, begreift Monique schließlich, auf welch schmerzhafte Weise ihr Leben mit dem des Hollywoodstars verbunden ist ... »Kommen Sie wegen der glamourösen Atmosphäre des alten Hollywoods, bleiben Sie wegen der berührenden Geschichte einer jungen Reporterin und einer Hollywoodlegende.« – Cosmopolitan *** Ein Muss für alle Taylor Jenkins Reid Fans! ***",http://books.google.com/books/content?id=H6VOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Handmaid’s Tale,No description available.,http://books.google.com/books/content?id=ZYLpGAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
City of Bones,"New York City, die Stadt, die niemals schläft. Hier finden auch die Wesen der Unterwelt ein Zuhause: Feen, Werwölfe und Vampire, Hexenwesen und Dämonen. Lange Zeit bekämpften sie alle sich bis aufs Blut – jetzt ist Frieden einkehrt. Endlich kann die 16-jährige Clary ihr Leben in vollen Zügen genießen: ihre Ausbildung zur Schattenjägerin ebenso wie das bevorstehende Hochzeitsfest ihrer Mutter. Und natürlich die Liebe zu ihrem Mitstreiter Jace, zu der sie sich nun bekennen kann. Doch abseits des Idylls braut sich ein dunkler Sturm zusammen. Ist der Krieg, den Clary und ihre Freunde gewonnen glaubten, doch noch nicht vorbei?",http://books.google.com/books/content?id=lGxLEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Chronicles of Narnia,No description available.,http://books.google.com/books/content?id=vkCwoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Dune,"Tauche ein in die epische Saga, die Generationen fasziniert hat. In ""Alles, was du über Dune wissen musst"" erwachen die faszinierenden Welten von Arrakis und den Fremen zum Leben – begleitet von einzigartigen Einblicken und atemberaubenden Bildern, festgehalten von renommierten Profifotografen. Von der Entstehung des Romans bis zur aufwendigen Verfilmung, erfahre alles über die kühnen Visionen und die kreativen Genies, die diesen Meilenstein des Sci-Fi-Kinos geschaffen haben. Dieses minimalistische Buch im quadratischen Format ist mehr als eine Hommage – es ist ein Fenster in eine Welt voller Intrigen, Abenteuer und unvergesslicher Charaktere. Ein Muss für jeden Fan von 'Dune' und ein perfektes Geschenk für Liebhaber des Films. Tauche ein in die Magie von 'Dune' und erlebe das Universum.",http://books.google.com/books/content?id=Xf4JEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Of Mice and Men,No description available.,http://books.google.com/books/content?id=9sHqPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Last Olympian,"Der Titan Kronos bedroht den Olymp. Percy und seine Freunde versuchen, die Angreifer aufzuhalten, Vernichtung und endgültigen Untergang des Olymps zu verhindern. Percy Jackson, Band 5. Abschlussband.",http://books.google.com/books/content?id=5zMtEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Princess Bride,"»Die Brautprinzessin« ist ein raffiniertes Abenteuer und eine atemlose, clevere Romanze. Traurig und hinterlistig, verspielt, blutig und zeitlos. Wahnsinnig. Und wunderschön. »Ich bin dein Prinz und du musst mich heiraten«, sagte Humperdinck. »Ich bin Eure Dienerin und lehne ab«, flüsterte Butterblume. »Ich bin der Prinz, und du kannst nicht ablehnen.« »Ich bin Eure sehr ergebene Dienerin, und ich habe eben abgelehnt.« »Weigerung bedeutet Tod.« »Dann tötet mich.« Bis Herbst 2008 wurde das Buch seit dem ersten Erscheinen bereits 100.000 mal verkauft.",http://books.google.com/books/content?id=r2Nk_BocJgYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Name of the Wind,"Erleben Sie, wie Kvothe im Feenreich der betörenden Felurian begegnet, die ihn durch ihre märchenhafte Schönheit fast willenlos macht. Nur durch eine List kann er sich aus ihren Armen befreien. Und sein Weg führt ihn weiter zu den stillen Kriegern der Adem, von denen er die hohe Kunst des Lethani erlernt und das Schwert Saicere verliehen bekommt. Mit ihm und einem von Felurian gewobenen Schattenmantel tritt er die Reise zurück zum Hof des mächtigen Maer an, doch unterwegs wartet entsetzliches Unheil auf ihn ... Dieser 2. Teil des Nachfolgebands von »Der Name des Windes« steckt wieder voller neuer Geschichten und Ideen von Patrick. Der Band ist daher so umfangreich geworden, dass man ihn teilen musste in zwei Bände - »Die Furcht des Weisen 1« und »Die Furcht des Weisen 2«. Mit »Die Furcht des Weisen« legt Patrick Rothfuss den zweiten Teil der Königsmörder-Chronik-Trilogie vor, der in den USA bei Kritikern und Fantasylesern begeistert aufgenommen wurde und schon bald einen der vorderen Plätze in der New York Times Bestsellerliste belegte. 2007 wurde Patrick Rothfuss für seinen Roman »Der Name des Windes« mit dem Quill Award sowie dem Pulishers Weekly Award für das beste Fantasy-Buch des Jahres ausgezeichnet.",http://books.google.com/books/content?id=MI1RrwhS_3YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Les Misérables,No description available.,http://books.google.com/books/content?id=lMG9EpwNuxIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Outsiders,"Three brothers struggle to stay together after their parents' death, as they search for an identity among the conflicting values of their adolescent society in which they find themselves ""outsiders.""",
Matilda,"Die berühmteste Leseratte der Welt Matilda ist ein sehr besonderes kleines Mädchen. Sie ist blitzgescheit und liest unendlich viele Bücher, sie ist mutig und abenteuerlustig und sie hat ein großes Herz. Jeder Pappkopf könnte das erkennen – doch die Erwachsenen sind leider völlig ahnungslos. Allen voran die gefürchtete Rektorin von Matildas Schule. Sie heißt Knüppelkuh und benimmt sich auch so. Einzig Matildas Klassenlehrerin, Jennifer Honig, erkennt, was in Matilda steckt. Leider hat es die Knüppelkuh auf Jenny Honig ganz besonders abgesehen. Womit sie allerdings nicht gerechnet hatte: Matilda ist nicht nur ein Wunderkind, sondern auch ein Zauberkind. Und unerbittlich, wenn es um die Verteidigung ihrer Freunde und Freundinnen geht ... Unerschrockene Heldinnen und Helden voller Kraft und Fantasie, die Kinder stark machen: Egal, wer und wo du bist, egal, wer dich kleinmachen will – mit Fantasie, Entschlossenheit und Mut kannst du deine eigene verrückte Geschichte selbst in die Hand nehmen und alles sein, was du willst. Die unsterblichen Kinderbücher von Roald Dahl erstmals in einer hochwertigen, farbig ausgestatteten Hardcover-Ausgabe, neu übersetzt von Andreas Steinhöfel sowie Sabine und Emma Ludwig. Weitere Kinderromane von Roald Dahl: Charlie und die Schokoladenfabrik Hexen hexen James und der Riesenpfirsich Der fantastische Mister Fox Die Trottels",http://books.google.com/books/content?id=XxReEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Brave New World,"Ein Meisterwerk neu in der Sprache unserer Zeit 1932 erschien eines der größten utopischen Bücher des 20. Jahrhunderts: ein heimtückisch verführerischer Aufriss unserer Zukunft, in der das Glück verabreicht wird wie eine Droge. Sex und Konsum fegen alle Bedenken hinweg und Reproduktionsfabriken haben das Fortpflanzungsproblem gelöst. Es ist die beste aller Welten – bis einer hinter die Kulissen schaut und einen Abgrund aus Arroganz und Bosheit entdeckt. Endlich erscheint die längst fällige Neuübersetzung von Uda Strätling. Das prophetische Buch, dessen Aktualität jeden Tag aufs Neue bewiesen wird, erhält eine sprachlich zeitgemäße Gestalt.",http://books.google.com/books/content?id=1jJuAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Green Eggs and Ham,"""Der kleine Lorax mit dem grossen Schnurrbart setzt sich entschlossen gegein die Zerstörung einer unberührten Natur ein, in die der gierige, skrupelloseScnhauchstricker-Insudtriallen-Clan eine alles verpestende Fabrik gestellt hat. Er kämpft um den Erhalt der paradiesisch bunten Trüffelbäume, um klare Luft für die singenden Schwippschwäne und um reines Wasser für die summenden Summerfische...""--P. [4] of cover.",http://books.google.com/books/content?id=UyHIMgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Lord of the Flies,"A plane crashes on an uninhabited island and the only survivors, a group of schoolboys, assemble on the beach and wait to be rescued. By day they inhabit a land of bright fantastic birds and dark blue seas, but at night their dreams are haunted by the image of a terrifying beast. In this, his first novel, William Golding gave the traditional adventure story an ironic, devastating twist. The boys' delicate sense of order fades, and their childish fears are transformed into something deeper and more primitive. Their games take on a horrible significance, and before long the well-behaved party of schoolboys has turned into a tribe of faceless, murderous savages.",http://books.google.com/books/content?id=3YloPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Secret Garden,No description available.,
Where the Wild Things Are,"A naughty little boy, sent to bed without his supper, sails to the land of the wild things where he becomes their king.",http://books.google.com/books/content?id=ejh5AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Gone Girl,"›GONE GIRL – DAS PERFEKTE OPFER‹ – Der Megaseller aus den USA – In einer Verfilmung von David Fincher mit Ben Affleck und Rosamund Pike „Was denkst du gerade, Amy?” Diese Frage habe ich ihr oft während unserer Ehe gestellt. Ich glaube, das fragt man sich immer wieder: Was denkst du? Wer bist du? Wie gut kennt man eigentlich den Menschen, den man liebt? Genau diese Fragen stellt sich Nick Dunne am Morgen seines fünften Hochzeitstages, dem Morgen, an dem seine Frau Amy spurlos verschwindet. Die Polizei verdächtigt sogleich Nick. Amys Freunde berichten, dass sie Angst vor ihm hatte. Er schwört, dass das nicht wahr ist. Dann erhält er sonderbare Anrufe. Was geschah mit Nicks wunderbarer Frau Amy? Selten wurde so raffiniert, abgründig und brillant manipuliert wie in diesem Psychogramm einer Ehe - ein teuflisch gutes Lesevergnügen.",http://books.google.com/books/content?id=z3pLBAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
And Then There Were None,No description available.,
